time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-01-14T14:58:27.770Z,32.6793333,-115.8086667,5.77,1.3,ml,17,118,0.1009,0.21,ci,ci38087296,2018-01-14T15:02:00.918Z,"18km ESE of Ocotillo, CA",earthquake,0.66,2.08,0.237,15,automatic,ci,ci
2018-01-14T14:37:00.484Z,61.846,-149.9426,41,1.7,ml,,,,0.28,ak,ak18049714,2018-01-14T14:44:24.040Z,"12km NNE of Willow, Alaska",earthquake,,1.5,,,automatic,ak,ak
2018-01-14T14:27:56.018Z,39.3831,-119.7501,6.9,1.3,ml,32,52.25,0.013,0.2119,nn,nn00618254,2018-01-15T02:36:54.206Z,"11km NW of Virginia City, Nevada",earthquake,,0.9,0.24,11,reviewed,nn,nn
2018-01-14T14:17:58.448Z,39.3856,-119.7487,6.2,0.8,ml,16,87.45,0.013,0.1999,nn,nn00618249,2018-01-15T02:36:47.195Z,"12km NW of Virginia City, Nevada",earthquake,,1,0.51,9,reviewed,nn,nn
2018-01-14T14:04:55.120Z,52.9825,159.4492,69.31,4.5,mb,,119,0.484,0.68,us,us2000cjid,2018-01-14T15:14:38.040Z,"54km E of Petropavlovsk-Kamchatskiy, Russia",earthquake,8.8,6.2,0.051,113,reviewed,us,us
2018-01-14T13:58:44.161Z,39.3799,-119.7457,5.3,0.1,ml,6,174.89,0.018,0.1174,nn,nn00618323,2018-01-15T02:39:49.438Z,"11km NW of Virginia City, Nevada",earthquake,,1.7,0.17,3,reviewed,nn,nn
2018-01-14T13:57:50.480Z,38.8103333,-122.791832,2.51,1.32,md,22,53,0.003596,0.04,nc,nc72954005,2018-01-14T15:53:01.758Z,"5km NW of The Geysers, CA",earthquake,0.24,0.45,0.13,6,automatic,nc,nc
2018-01-14T13:57:24.713Z,39.3868,-119.7501,6,0.1,ml,7,117.73,0.012,0.2009,nn,nn00618298,2018-01-15T02:38:59.561Z,"12km NW of Virginia City, Nevada",earthquake,,1.6,0.29,2,reviewed,nn,nn
2018-01-14T13:44:40.330Z,38.8193321,-122.7914963,2.79,1.56,md,25,39,0.0104,0.06,nc,nc72954000,2018-01-14T15:24:02.689Z,"6km NNW of The Geysers, CA",earthquake,0.24,0.52,0.06,6,automatic,nc,nc
2018-01-14T13:43:52.140Z,46.779,-112.8021667,16.18,1.86,ml,17,53,0.203,0.16,mb,mb80277724,2018-01-16T15:27:07.940Z,"21km SSW of Lincoln, Montana",earthquake,0.41,0.55,0.043,2,reviewed,mb,mb
2018-01-14T13:18:31.980Z,38.8098335,-122.7429962,1.62,0.89,md,8,124,0.009744,0.02,nc,nc72953995,2018-01-14T14:56:01.639Z,"2km SW of Cobb, CA",earthquake,0.5,1.65,0.02,3,automatic,nc,nc
2018-01-14T12:41:16.400Z,38.822834,-122.8034973,2.35,1.03,md,14,115,0.005168,0.02,nc,nc72953980,2018-01-14T13:59:01.387Z,"6km NW of The Geysers, CA",earthquake,0.35,0.55,0.13,4,automatic,nc,nc
2018-01-14T12:27:54.750Z,33.2761667,-116.2623333,10.22,1.17,ml,34,118,0.08354,0.21,ci,ci38087144,2018-01-16T15:25:56.010Z,"11km ENE of Borrego Springs, CA",earthquake,0.31,0.68,0.118,25,reviewed,ci,ci
2018-01-14T12:27:31.836Z,36.9139,-116.1733,2.3,-0.1,ml,16,68.38,0.065,0.1909,nn,nn00618242,2018-01-15T02:36:36.201Z,"52km E of Beatty, Nevada",earthquake,,3.8,0.31,9,reviewed,nn,nn
2018-01-14T12:23:03.080Z,33.5111667,-116.7961667,6.84,0.11,ml,12,72,0.0731,0.09,ci,ci38087136,2018-01-16T15:25:06.282Z,"10km NE of Aguanga, CA",earthquake,0.26,0.87,0.009,5,reviewed,ci,ci
2018-01-14T12:20:09.710Z,33.494,-116.7916667,5.25,0.32,ml,13,128,0.08446,0.09,ci,ci38087128,2018-01-16T15:25:02.886Z,"9km NE of Aguanga, CA",earthquake,0.3,1.04,0.117,10,reviewed,ci,ci
2018-01-14T12:18:16.869Z,39.3845,-119.7537,6.6,0.7,ml,20,87,0.01,0.212,nn,nn00618240,2018-01-15T02:36:33.873Z,"12km NW of Virginia City, Nevada",earthquake,,1,0.27,4,reviewed,nn,nn
2018-01-14T12:13:59.612Z,39.3834,-119.7533,5.6,0,ml,9,117.13,0.011,0.1588,nn,nn00618297,2018-01-15T02:38:57.792Z,"12km NW of Virginia City, Nevada",earthquake,,1.3,0.68,5,reviewed,nn,nn
2018-01-14T12:12:55.897Z,39.3863,-119.7509,4.7,0.4,ml,7,117.56,0.011,0.1515,nn,nn00618296,2018-01-15T02:38:55.797Z,"12km NW of Virginia City, Nevada",earthquake,,1.3,0.56,2,reviewed,nn,nn
2018-01-14T11:54:04.504Z,39.3833,-119.7626,4.8,0.8,ml,8,138.09,0.007,0.1196,nn,nn00618295,2018-01-15T02:38:54.013Z,"12km NW of Virginia City, Nevada",earthquake,,1.4,1.04,6,reviewed,nn,nn
2018-01-14T11:46:34.179Z,39.3869,-119.784,3.8,0.5,ml,6,129.68,0.015,0.0478,nn,nn00618294,2018-01-15T02:38:52.107Z,"14km NW of Virginia City, Nevada",earthquake,,4.3,0.31,2,reviewed,nn,nn
2018-01-14T11:45:53.850Z,35.2906667,-117.6686667,9.6,1.07,ml,17,61,0.1468,0.17,ci,ci38087120,2018-01-16T15:25:12.433Z,"10km SSW of Johannesburg, CA",earthquake,0.33,0.84,0.168,15,reviewed,ci,ci
2018-01-14T11:39:58.480Z,38.791832,-122.7350006,1.41,1.16,md,12,71,0.008688,0.01,nc,nc72953975,2018-01-14T13:31:02.337Z,"2km NE of The Geysers, CA",earthquake,0.28,0.62,0.19,4,automatic,nc,nc
2018-01-14T11:18:16.790Z,33.4953333,-116.7886667,6.34,0.86,ml,35,34,0.082,0.16,ci,ci38087112,2018-01-16T15:26:01.410Z,"9km NE of Aguanga, CA",earthquake,0.18,0.67,0.111,25,reviewed,ci,ci
2018-01-14T11:14:18.747Z,60.4852,-142.7275,0,2.7,ml,,,,0.62,ak,ak18048254,2018-01-14T11:55:14.040Z,"49km NNW of Cape Yakataga, Alaska",earthquake,,0.3,,,automatic,ak,ak
2018-01-14T11:10:42.530Z,38.8098335,-122.822998,1.81,0.56,md,13,79,0.004924,0.04,nc,nc72953970,2018-01-14T13:02:02.189Z,"7km WNW of The Geysers, CA",earthquake,0.39,0.51,,1,automatic,nc,nc
2018-01-14T11:10:09.800Z,59.6798,-152.7672,86.9,2.3,ml,,,,0.7,ak,ak18048248,2018-01-14T11:16:33.909Z,"53km W of Anchor Point, Alaska",earthquake,,0.6,,,automatic,ak,ak
2018-01-14T11:08:55.912Z,60.1774,-151.1437,49,2.8,ml,,,,0.53,ak,ak18048242,2018-01-15T01:08:05.308Z,"23km SSE of Cohoe, Alaska",earthquake,,1.1,,,automatic,ak,ak
2018-01-14T11:05:04.600Z,38.8031654,-122.7425003,1.31,1.72,md,19,54,0.01636,0.04,nc,nc72953965,2018-01-14T12:34:03.062Z,"3km SW of Cobb, CA",earthquake,0.23,0.43,0.09,8,automatic,nc,nc
2018-01-14T11:01:31.315Z,60.6018,-142.7998,0,2.5,ml,,,,0.59,ak,ak18048237,2018-01-14T12:18:37.040Z,"63km NNW of Cape Yakataga, Alaska",earthquake,,0.3,,,automatic,ak,ak
2018-01-14T10:50:24.680Z,39.3814,-119.7309,6.2,0.2,ml,6,121.92,0.028,0.149,nn,nn00618292,2018-01-15T02:38:50.457Z,"10km NW of Virginia City, Nevada",earthquake,,1.9,1.23,3,reviewed,nn,nn
2018-01-14T10:28:41.710Z,46.8456667,-121.7578333,0.69,0.61,ml,10,86,0.01979,0.07,uw,uw61342772,2018-01-15T23:02:47.820Z,"27km NNW of Packwood, Washington",earthquake,0.31,0.55,0.257,8,reviewed,uw,uw
2018-01-14T10:16:58.543Z,37.1565,-117.9301,7.5,1,ml,12,127.71,0.26,0.1808,nn,nn00618238,2018-01-15T02:36:31.039Z,"31km E of Big Pine, California",earthquake,,5,0.04,3,reviewed,nn,nn
2018-01-14T10:11:35.399Z,39.3841,-119.7535,6.8,1,ml,20,94.04,0.011,0.1961,nn,nn00618237,2018-01-15T02:36:29.043Z,"12km NW of Virginia City, Nevada",earthquake,,1,0.61,6,reviewed,nn,nn
2018-01-14T10:11:12.547Z,39.3858,-119.7419,5.6,1.1,ml,9,95.58,0.018,0.1506,nn,nn00618290,2018-01-15T02:38:40.681Z,"11km NW of Virginia City, Nevada",earthquake,,1.4,1.26,6,reviewed,nn,nn
2018-01-14T10:05:16.392Z,39.3815,-119.7505,5.2,0.8,ml,7,173.49,0.014,0.1858,nn,nn00618289,2018-01-15T02:38:38.577Z,"11km NW of Virginia City, Nevada",earthquake,,1.9,1.31,4,reviewed,nn,nn
2018-01-14T10:04:22.918Z,39.3856,-119.751,5.3,1.3,ml,7,117.57,0.012,0.1429,nn,nn00618287,2018-01-15T02:38:36.811Z,"12km NW of Virginia City, Nevada",earthquake,,1.5,0.36,3,reviewed,nn,nn
2018-01-14T09:57:42.050Z,39.3832,-119.754,6,1.5,ml,11,117,0.011,0.146,nn,nn00618286,2018-01-15T02:38:35.069Z,"12km NW of Virginia City, Nevada",earthquake,,1.1,0.71,10,reviewed,nn,nn
2018-01-14T09:57:27.480Z,38.8030014,-122.7429962,0.71,1.75,md,23,64,0.01655,0.08,nc,nc72953950,2018-01-14T11:37:01.646Z,"3km SW of Cobb, CA",earthquake,0.26,0.56,0.18,8,automatic,nc,nc
2018-01-14T09:53:05.990Z,19.368,-155.2141724,1.6,1.92,ml,19,86,0.005889,0.22,hv,hv70013817,2018-01-14T09:58:38.690Z,"7km SSE of Volcano, Hawaii",earthquake,0.41,0.29,3.29,4,automatic,hv,hv
2018-01-14T09:51:51.830Z,46.6031667,-119.8635,6.33,0.66,ml,9,185,0.04508,0.19,uw,uw61342762,2018-01-15T22:59:39.050Z,"9km SSE of Desert Aire, Washington",earthquake,0.86,0.3,0.086,6,reviewed,uw,uw
2018-01-14T09:41:16.710Z,38.8088341,-122.7983322,3,0.33,md,7,90,0.00252,0.02,nc,nc72953945,2018-01-14T11:09:03.589Z,"5km NW of The Geysers, CA",earthquake,0.49,1.51,,1,automatic,nc,nc
2018-01-14T09:28:13.386Z,37.7775,-116.3702,0,1.3,ml,22,105.31,0.487,0.213,nn,nn00618233,2018-01-15T02:36:19.544Z,"45km S of Warm Springs, Nevada",earthquake,,2.3,0.22,13,reviewed,nn,nn
2018-01-14T09:19:30.530Z,36.4898,70.7448,204.16,5.3,mww,,44,0.648,1.11,us,us2000cjg0,2018-01-14T15:34:39.498Z,"42km S of Jarm, Afghanistan",earthquake,5.5,4.1,0.069,20,reviewed,us,us
2018-01-14T09:18:45.070Z,-15.7758,-74.7441,36.25,7.1,mww,,37,4.281,1.2,us,us2000cjfy,2018-01-16T17:49:40.483Z,"40km SSW of Acari, Peru",earthquake,6.5,3.6,0.038,68,reviewed,us,us
2018-01-14T09:18:02.856Z,39.3828,-119.7478,5.2,0.9,ml,7,118.28,0.015,0.1484,nn,nn00618284,2018-01-15T02:38:33.062Z,"11km NW of Virginia City, Nevada",earthquake,,1.5,0.93,2,reviewed,nn,nn
2018-01-14T09:11:55.860Z,39.38,-119.7497,6.4,0.4,ml,11,94.61,0.016,0.1571,nn,nn00618282,2018-01-15T02:38:23.277Z,"11km NW of Virginia City, Nevada",earthquake,,1.1,0.39,4,reviewed,nn,nn
2018-01-14T09:07:33.110Z,41.839,143.0748,55.11,4.8,mb,,133,0.186,0.87,us,us2000cjfs,2018-01-14T09:23:11.040Z,"80km SE of Shizunai, Japan",earthquake,8.3,6.9,0.057,95,reviewed,us,us
2018-01-14T08:49:42.206Z,39.3883,-119.7499,5.5,0.8,ml,8,117.74,0.012,0.1833,nn,nn00618281,2018-01-15T02:38:21.218Z,"12km NW of Virginia City, Nevada",earthquake,,1.6,1,2,reviewed,nn,nn
2018-01-14T08:46:57.026Z,39.3833,-119.7488,6.2,0.7,ml,16,87.55,0.014,0.2109,nn,nn00618230,2018-01-15T02:36:16.487Z,"11km NW of Virginia City, Nevada",earthquake,,1.2,0.42,6,reviewed,nn,nn
2018-01-14T08:39:58.010Z,17.782,-66.038,11,1.57,md,4,304,0.1959,0.21,pr,pr2018014001,2018-01-14T13:16:27.401Z,"20km S of Arroyo, Puerto Rico",earthquake,1.54,1.09,0.32,3,reviewed,pr,pr
2018-01-14T08:34:32.390Z,17.7946,-66.0221,11,1.25,md,4,304,0.1906,0.15,pr,pr2018014000,2018-01-14T13:15:55.521Z,"19km SSE of Arroyo, Puerto Rico",earthquake,1.18,0.7,0.09,3,reviewed,pr,pr
2018-01-14T08:29:06.071Z,39.3874,-119.7529,5.9,0.5,ml,15,94.07,0.01,0.1661,nn,nn00618229,2018-01-15T02:36:13.783Z,"12km NW of Virginia City, Nevada",earthquake,,1.1,0.26,4,reviewed,nn,nn
2018-01-14T08:20:14.430Z,46.5245,-122.3793333,23.56,0.95,ml,16,89,0.1409,0.11,uw,uw61342742,2018-01-15T23:28:11.400Z,"8km WSW of Morton, Washington",earthquake,0.43,1.01,0.134,12,reviewed,uw,uw
2018-01-14T08:17:36.440Z,19.8118324,-155.9734955,13.03,2.08,md,42,220,0.2314,0.28,hv,hv70013767,2018-01-14T17:24:02.830Z,"13km NNE of Kalaoa, Hawaii",earthquake,1.59,2.44,0.21,9,automatic,hv,hv
2018-01-14T08:17:20.739Z,39.3872,-119.7525,6.4,1,ml,16,86.98,0.01,0.2534,nn,nn00618228,2018-01-15T02:36:11.289Z,"12km NW of Virginia City, Nevada",earthquake,,1.1,0.56,5,reviewed,nn,nn
2018-01-14T08:12:49.476Z,37.7657,-116.3543,0,1.2,ml,25,103.95,0.477,0.1849,nn,nn00618227,2018-01-15T02:36:08.666Z,"47km S of Warm Springs, Nevada",earthquake,,0,0.23,12,reviewed,nn,nn
2018-01-14T07:55:14.650Z,34.169,-117.25,2.78,1.47,ml,59,30,0.04027,0.2,ci,ci38087080,2018-01-14T08:06:03.360Z,"6km NW of Highland, CA",earthquake,0.21,0.29,0.115,26,automatic,ci,ci
2018-01-14T07:43:14.046Z,39.3812,-119.7526,5.6,0,ml,6,117.32,0.013,0.0892,nn,nn00618280,2018-01-15T02:38:19.417Z,"11km NW of Virginia City, Nevada",earthquake,,1.4,0.01,2,reviewed,nn,nn
2018-01-14T07:34:50.236Z,39.3789,-119.7527,5.3,-0.1,ml,8,117.33,0.015,0.1496,nn,nn00618279,2018-01-15T02:38:17.816Z,"11km NW of Virginia City, Nevada",earthquake,,1.5,0.02,3,reviewed,nn,nn
2018-01-14T07:30:23.700Z,38.8231659,-122.8118362,2.47,0.74,md,8,92,0.001395,0.03,nc,nc72953915,2018-01-14T07:48:03.065Z,"7km NW of The Geysers, CA",earthquake,0.59,0.78,0.17,2,automatic,nc,nc
2018-01-14T07:28:28.780Z,40.4833,-126.9516,10,3.3,ml,,248,2.161,1.23,us,us2000cjfj,2018-01-14T17:27:15.871Z,"227km W of Ferndale, California",earthquake,7.3,2,0.048,58,reviewed,us,us
2018-01-14T07:15:51.190Z,33.4893333,-116.7845,4.98,0.43,ml,22,46,0.0855,0.12,ci,ci38087064,2018-01-16T15:25:30.433Z,"9km NE of Aguanga, CA",earthquake,0.19,1.07,0.104,13,reviewed,ci,ci
2018-01-14T07:12:29.245Z,37.3546,-117.1222,8.1,0.6,ml,12,102.42,0.123,0.2251,nn,nn00618224,2018-01-15T02:36:05.517Z,"40km SSE of Goldfield, Nevada",earthquake,,3.7,0.26,7,reviewed,nn,nn
2018-01-14T07:05:15.303Z,39.3852,-119.7504,6.6,0.7,ml,10,94.44,0.012,0.1386,nn,nn00618277,2018-01-15T02:38:16.015Z,"12km NW of Virginia City, Nevada",earthquake,,1.1,0.25,3,reviewed,nn,nn
2018-01-14T07:04:47.876Z,39.3853,-119.7458,6.6,0.3,ml,8,118.65,0.016,0.161,nn,nn00618259,2018-01-15T02:37:03.862Z,"11km NW of Virginia City, Nevada",earthquake,,1.2,0.41,4,reviewed,nn,nn
2018-01-14T06:57:14.375Z,37.3553,-117.1265,8.8,-0.2,ml,5,153.61,0.12,0.1229,nn,nn00618364,2018-01-15T02:41:03.311Z,"40km SSE of Goldfield, Nevada",earthquake,,7.6,0,1,reviewed,nn,nn
2018-01-14T06:56:32.236Z,37.3589,-117.125,8.7,-0.1,ml,7,131.56,0.123,0.1014,nn,nn00618363,2018-01-15T02:41:01.860Z,"40km SSE of Goldfield, Nevada",earthquake,,5.3,0.01,2,reviewed,nn,nn
2018-01-14T06:56:14.827Z,39.3836,-119.7506,6.4,0.2,ml,9,117.68,0.013,0.1539,nn,nn00618258,2018-01-15T02:37:02.000Z,"11km NW of Virginia City, Nevada",earthquake,,1.7,0.45,3,reviewed,nn,nn
2018-01-14T06:54:20.723Z,37.3576,-117.1274,9.2,0.1,ml,6,131.1,0.121,0.1327,nn,nn00618362,2018-01-15T02:41:00.199Z,"40km SSE of Goldfield, Nevada",earthquake,,6.5,0.27,3,reviewed,nn,nn
2018-01-14T06:52:05.569Z,61.2914,-146.4514,26.1,2.2,ml,,,,0.77,ak,ak18047251,2018-01-14T06:56:39.067Z,"18km NNW of Valdez, Alaska",earthquake,,0.2,,,automatic,ak,ak
2018-01-14T06:50:54.541Z,37.3429,-117.1192,8,0,ml,7,210.3,0.121,0.1675,nn,nn00618361,2018-01-15T02:40:58.376Z,"41km SSE of Goldfield, Nevada",earthquake,,5.4,0.14,2,reviewed,nn,nn
2018-01-14T06:50:35.242Z,39.3851,-119.7487,6.3,0.2,ml,6,173.1,0.014,0.1813,nn,nn00618257,2018-01-15T02:37:00.020Z,"11km NW of Virginia City, Nevada",earthquake,,1.6,0,1,reviewed,nn,nn
2018-01-14T06:42:51.825Z,60.6597,-150.5188,41.7,2,ml,,,,0.63,ak,ak18047249,2018-01-14T06:50:19.595Z,"19km NE of Sterling, Alaska",earthquake,,1.1,,,automatic,ak,ak
2018-01-14T06:42:23.395Z,37.3425,-117.1247,8,-0.3,ml,5,232.88,0.116,0.1498,nn,nn00618360,2018-01-15T02:40:56.472Z,"41km SSE of Goldfield, Nevada",earthquake,,8.9,0,1,reviewed,nn,nn
2018-01-14T06:41:46.410Z,37.3405,-117.1254,8.6,-0.3,ml,7,230.9,0.115,0.1328,nn,nn00618359,2018-01-15T02:40:54.715Z,"41km SSE of Goldfield, Nevada",earthquake,,7.4,0.02,2,reviewed,nn,nn
2018-01-14T06:35:27.749Z,36.6143,-115.9677,11.4,0.3,ml,19,232.29,0.048,0.1878,nn,nn00618223,2018-01-15T02:36:01.705Z,"45km N of Pahrump, Nevada",earthquake,,1,0.23,11,reviewed,nn,nn
2018-01-14T06:32:47.957Z,39.3802,-119.747,6.5,0.5,ml,11,94.97,0.017,0.1597,nn,nn00618256,2018-01-15T02:36:58.299Z,"11km NW of Virginia City, Nevada",earthquake,,1.2,0.99,5,reviewed,nn,nn
2018-01-14T06:29:14.773Z,39.3819,-119.7435,5.1,-0.2,ml,8,95.43,0.019,0.1956,nn,nn00618355,2018-01-15T02:40:52.982Z,"11km NW of Virginia City, Nevada",earthquake,,2.2,0.11,2,reviewed,nn,nn
2018-01-14T06:27:57.382Z,39.5429,-119.9188,5.2,0,ml,4,214.94,0.072,0.0338,nn,nn00618319,2018-01-15T02:39:38.631Z,"3km N of Mogul, Nevada",earthquake,,4.5,0.12,2,reviewed,nn,nn
2018-01-14T06:25:50.520Z,37.6048317,-118.9649963,1.61,0.88,md,9,196,0.01295,0.03,nc,nc72953885,2018-01-14T08:32:01.156Z,"4km SSE of Mammoth Lakes, CA",earthquake,0.6,1.13,0.07,9,automatic,nc,nc
2018-01-14T06:23:07.900Z,48.7036667,-123.148,54.4,1.57,ml,16,54,0.07328,0.19,uw,uw61342707,2018-01-16T00:24:04.990Z,"21km NNW of Friday Harbor, Washington",earthquake,0.69,0.89,0.164,13,reviewed,uw,uw
2018-01-14T06:05:16.131Z,37.3554,-117.1187,7.2,-0.2,ml,5,216.44,0.126,0.2133,nn,nn00618351,2018-01-15T02:40:51.239Z,"40km SSE of Goldfield, Nevada",earthquake,,10.5,0,1,reviewed,nn,nn
2018-01-14T06:03:39.490Z,38.8105011,-122.8278351,1.05,0.84,md,11,68,0.01093,0.06,nc,nc72953880,2018-01-14T08:05:03.641Z,"7km WNW of The Geysers, CA",earthquake,0.33,0.53,0.13,4,automatic,nc,nc
2018-01-14T05:49:10.230Z,33.72,-116.8163333,15.51,0.38,ml,11,187,0.08561,0.08,ci,ci38087048,2018-01-16T15:25:36.624Z,"8km ESE of Valle Vista, CA",earthquake,0.55,0.39,0.168,9,reviewed,ci,ci
2018-01-14T05:48:09.531Z,39.3881,-119.7439,5.6,0.3,ml,8,118.99,0.016,0.1183,nn,nn00618255,2018-01-15T02:36:56.148Z,"11km NW of Virginia City, Nevada",earthquake,,2.3,0.49,2,reviewed,nn,nn
2018-01-14T05:43:56.860Z,38.8084984,-122.7981644,1.39,0.87,md,12,68,0.002297,0.03,nc,nc72953870,2018-01-14T07:09:03.008Z,"5km NW of The Geysers, CA",earthquake,0.25,0.53,0.09,3,automatic,nc,nc
2018-01-14T05:40:11.923Z,39.3901,-119.7452,5.5,0.3,ml,6,172.82,0.015,0.1481,nn,nn00618250,2018-01-15T02:36:48.682Z,"12km NW of Virginia City, Nevada",earthquake,,1.5,0.3,2,reviewed,nn,nn
2018-01-14T05:39:17.745Z,39.3833,-119.7562,5.1,0.9,ml,11,116.54,0.01,0.0961,nn,nn00618221,2018-01-15T02:35:54.841Z,"12km NW of Virginia City, Nevada",earthquake,,1.1,0.83,4,reviewed,nn,nn
2018-01-14T05:32:32.030Z,38.7773323,-122.7223358,2.14,0.64,md,6,125,0.005688,0.01,nc,nc72953865,2018-01-14T06:40:03.952Z,"3km W of Anderson Springs, CA",earthquake,0.77,1.15,0.04,3,automatic,nc,nc
2018-01-14T05:22:39.507Z,39.3894,-119.7476,6.2,0.5,ml,6,118.17,0.013,0.0914,nn,nn00618247,2018-01-15T02:36:44.385Z,"12km NW of Virginia City, Nevada",earthquake,,2.4,0.99,4,reviewed,nn,nn
2018-01-14T05:03:36.335Z,61.475,-146.5298,34,2,ml,,,,0.53,ak,ak18046802,2018-01-14T05:07:31.571Z,"39km NNW of Valdez, Alaska",earthquake,,0.2,,,automatic,ak,ak
2018-01-14T05:01:20.290Z,46.2476667,-122.0666667,8.73,0.59,ml,11,218,0.04869,0.14,uw,uw61342697,2018-01-16T00:14:17.800Z,"38km SSE of Morton, Washington",earthquake,0.56,0.74,0.137,9,reviewed,uw,uw
2018-01-14T05:01:15.660Z,38.7900009,-122.7616653,0.71,1.84,md,25,130,0.02063,0.06,nc,nc72953860,2018-01-14T06:12:01.891Z,"2km NNW of The Geysers, CA",earthquake,0.25,0.44,0.19,8,automatic,nc,nc
2018-01-14T04:53:59.530Z,-3.5325,101.6271,48.63,4.6,mb,,181,3.13,0.79,us,us2000cjf6,2018-01-14T05:13:21.040Z,"76km WNW of Bengkulu, Indonesia",earthquake,10.9,9.7,0.097,32,reviewed,us,us
2018-01-14T04:45:52.950Z,37.6093333,-118.8395,3.91,0.71,md,21,141,0.02097,0.06,nc,nc72953855,2018-01-16T18:18:01.573Z,"13km ESE of Mammoth Lakes, CA",earthquake,0.38,0.43,0.124,16,reviewed,nc,nc
2018-01-14T04:21:23.238Z,39.3852,-119.7443,6.1,0.7,ml,9,95.27,0.017,0.1599,nn,nn00618246,2018-01-15T02:36:42.287Z,"11km NW of Virginia City, Nevada",earthquake,,1.2,0.94,6,reviewed,nn,nn
2018-01-14T04:18:17.390Z,33.4941667,-116.7928333,3.46,0.6,ml,28,40,0.08485,0.17,ci,ci38087016,2018-01-16T15:26:05.630Z,"9km NE of Aguanga, CA",earthquake,0.2,0.76,0.099,19,reviewed,ci,ci
2018-01-14T04:07:12.390Z,37.6591667,-118.8801667,4.19,0.35,md,11,201,0.01981,0.05,nc,nc72953845,2018-01-16T18:03:02.537Z,"9km ENE of Mammoth Lakes, CA",earthquake,1,0.6,0.104,8,reviewed,nc,nc
2018-01-14T03:59:55.480Z,33.4238333,-116.3825,11.65,1.17,ml,44,106,0.1057,0.19,ci,ci38087008,2018-01-16T15:26:09.790Z,"19km N of Borrego Springs, CA",earthquake,0.26,0.62,0.162,28,reviewed,ci,ci
2018-01-14T03:50:52.570Z,36.0601667,-118.0068333,2.42,-0.03,ml,6,207,0.1079,0.07,ci,ci38087000,2018-01-14T20:56:19.700Z,"6km WNW of Coso Junction, CA",earthquake,0.29,0.52,0.101,1,reviewed,ci,ci
2018-01-14T03:40:30.490Z,33.6826667,-116.7716667,15.44,1,ml,45,33,0.05573,0.18,ci,ci38086992,2018-01-16T15:27:15.370Z,"8km SW of Idyllwild, CA",earthquake,0.26,0.4,0.234,26,reviewed,ci,ci
2018-01-14T03:38:12.040Z,39.3827,-119.7503,5.2,0.7,ml,8,117.76,0.013,0.1392,nn,nn00618245,2018-01-15T02:36:40.149Z,"11km NW of Virginia City, Nevada",earthquake,,1.7,0.99,4,reviewed,nn,nn
2018-01-14T03:22:28.120Z,37.5953333,-119.0086667,1.43,0.56,md,16,182,0.01888,0.05,nc,nc72953835,2018-01-16T17:28:02.218Z,"5km SSW of Mammoth Lakes, CA",earthquake,0.53,0.28,0.349,16,reviewed,nc,nc
2018-01-14T03:02:28.599Z,39.3849,-119.7487,7,0.8,ml,11,94.67,0.014,0.148,nn,nn00618244,2018-01-15T02:36:38.215Z,"11km NW of Virginia City, Nevada",earthquake,,1.9,0.47,5,reviewed,nn,nn
2018-01-14T03:01:49.382Z,63.4433,-147.7398,0,2.2,ml,,,,0.68,ak,ak18046797,2018-01-14T03:09:47.980Z,"60km E of Cantwell, Alaska",earthquake,,0.3,,,automatic,ak,ak
2018-01-14T02:53:11.307Z,39.3852,-119.7645,4,0.8,ml,6,158.8,0.005,0.0426,nn,nn00618213,2018-01-15T02:35:48.902Z,"12km NW of Virginia City, Nevada",earthquake,,1.4,1.1,2,reviewed,nn,nn
2018-01-14T02:25:10.540Z,33.4916667,-116.7938333,4.3,0.26,ml,12,187,0.0874,0.07,ci,ci38086968,2018-01-16T15:25:43.130Z,"9km NE of Aguanga, CA",earthquake,0.35,0.46,0.133,8,reviewed,ci,ci
2018-01-14T02:21:41.708Z,61.4297,-152.3125,1.5,1.1,ml,,,,0.67,ak,ak18046796,2018-01-14T21:30:33.364Z,"99km NNW of Nikiski, Alaska",earthquake,,0.6,,,reviewed,ak,ak
2018-01-14T02:15:34.270Z,34.2675,-117.197,8.18,1.02,ml,22,65,0.04699,0.21,ci,ci38086960,2018-01-14T02:19:12.172Z,"2km NNW of Lake Arrowhead, CA",earthquake,0.42,1.45,0.255,25,automatic,ci,ci
2018-01-14T02:00:04.746Z,53.3667,-165.6223,17.2,2.3,ml,,,,0.35,ak,ak18046795,2018-01-14T21:13:11.224Z,"82km SE of Unalaska, Alaska",earthquake,,1.5,,,reviewed,ak,ak
2018-01-14T01:54:02.980Z,46.8541667,-121.745,1.22,0.29,ml,6,129,0.01881,0.07,uw,uw61342672,2018-01-15T23:59:19.630Z,"28km NNW of Packwood, Washington",earthquake,0.46,0.68,0.113,5,reviewed,uw,uw
2018-01-14T01:52:10.700Z,38.8414993,-122.8399963,1.39,1.21,md,17,102,0.004566,0.03,nc,nc72953820,2018-01-14T03:55:01.660Z,"10km NW of The Geysers, CA",earthquake,0.29,0.43,0.1,4,automatic,nc,nc
2018-01-14T01:45:00.674Z,39.3845,-119.7509,7,0.9,ml,18,94.39,0.012,0.1766,nn,nn00618211,2018-01-15T02:35:48.627Z,"12km NW of Virginia City, Nevada",earthquake,,1.1,0.45,9,reviewed,nn,nn
